id,recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens,id
384,Taco Salad,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","dairy-free, vegan",dinner,Mediterranean,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later.",,384
385,Chicken Caesar Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","gluten-free, high-protein",breakfast,American,"Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,385
386,Taco Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",vegan,snack,Asian,"Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden.",Dairy,386
387,Lentil Soup,"Lentils, Carrots, Celery, Garlic, Vegetable broth","dairy-free, low-carb, high-protein",lunch,American,"Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden.",Eggs,387
388,Shrimp Pasta,"Banana, Whey protein, Almond milk, Peanut butter",high-protein,snack,Asian,"Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,388
389,Vegan Buddha Bowl,"Banana, Whey protein, Almond milk, Peanut butter",keto-friendly,lunch,Indian,"Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later.",Eggs,389
390,Protein Smoothie,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","low-carb, high-protein, gluten-free",snack,Mexican,"Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden.",Eggs,390
391,Chicken Caesar Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",low-carb,breakfast,Indian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Dairy,391
392,Vegan Buddha Bowl,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","paleo, vegetarian, keto-friendly",dinner,Asian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,392
393,Vegetarian Chili,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","dairy-free, vegetarian, vegan",breakfast,Asian,"In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes.",Eggs,393
394,Vegetarian Chili,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","gluten-free, keto-friendly, vegetarian",lunch,American,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes.",Peanuts,394
395,Taco Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","keto-friendly, dairy-free",breakfast,Mexican,"Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes.",Gluten,395
396,Vegetarian Chili,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","high-protein, gluten-free, vegan",breakfast,Indian,"Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Gluten,396
397,Beef Stir Fry,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","vegan, dairy-free, vegetarian",breakfast,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,397
398,Shrimp Pasta,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","keto-friendly, paleo",lunch,Mexican,"Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes.",Eggs,398
399,Gluten-Free Pancakes,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","keto-friendly, vegetarian",breakfast,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,399
400,Vegan Buddha Bowl,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","high-protein, keto-friendly, vegetarian",dinner,Mediterranean,"Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,400
401,Taco Salad,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",low-carb,lunch,Mediterranean,"Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,401
402,Shrimp Pasta,"Banana, Whey protein, Almond milk, Peanut butter",paleo,breakfast,Italian,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces.",Dairy,402
403,Shrimp Pasta,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",vegan,breakfast,Indian,"Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden.",Gluten,403
404,Gluten-Free Pancakes,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","keto-friendly, dairy-free, low-carb",snack,Italian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool.",Gluten,404
405,Beef Stir Fry,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","paleo, gluten-free",dinner,American,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool.",Eggs,405
406,Chicken Caesar Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","low-carb, paleo",lunch,Indian,"Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Dairy,406
407,Taco Salad,"Lentils, Carrots, Celery, Garlic, Vegetable broth","gluten-free, low-carb",breakfast,Mexican,"Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden.",Eggs,407
408,Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",low-carb,dinner,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,408
409,Chicken Caesar Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","keto-friendly, vegetarian, gluten-free",snack,Mediterranean,"Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth.",Gluten,409
410,Avocado Toast,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",keto-friendly,dinner,Indian,"Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",,410
411,Shrimp Pasta,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",dairy-free,breakfast,Mexican,"Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,411
412,Vegan Buddha Bowl,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","vegetarian, low-carb",breakfast,Italian,"Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing.",Dairy,412
413,Chicken Caesar Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",vegan,breakfast,Mexican,"Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,413
414,Vegetarian Chili,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","gluten-free, vegan, dairy-free",snack,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden.",,414
415,Beef Stir Fry,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","high-protein, vegetarian",snack,Indian,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later.",Peanuts,415
416,Beef Stir Fry,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","high-protein, vegan, low-carb",snack,Italian,"Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing.",,416
417,Taco Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","vegan, high-protein, dairy-free",breakfast,Asian,Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing.,Eggs,417
418,Vegetarian Chili,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","gluten-free, low-carb, keto-friendly",snack,Asian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces.",Gluten,418
419,Lentil Soup,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","low-carb, vegetarian",snack,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,419
420,Gluten-Free Pancakes,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","high-protein, vegetarian, paleo",lunch,Italian,"In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor.",,420
421,Chicken Caesar Salad,"Lentils, Carrots, Celery, Garlic, Vegetable broth","vegetarian, vegan, keto-friendly",lunch,Italian,"In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth.",Dairy,421
422,Avocado Toast,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","gluten-free, vegetarian, vegan",snack,Indian,"Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool.",,422
423,Lentil Soup,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","dairy-free, gluten-free, keto-friendly",snack,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later.",Gluten,423
424,Taco Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","gluten-free, keto-friendly",breakfast,Italian,"Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,424
425,Taco Salad,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","high-protein, paleo, gluten-free",snack,Italian,"Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden.",Peanuts,425
426,Vegetarian Chili,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","vegan, dairy-free, keto-friendly",snack,Italian,"Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces.",Peanuts,426
427,Gluten-Free Pancakes,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",high-protein,snack,Mediterranean,Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes.,Peanuts,427
428,Shrimp Pasta,"Lentils, Carrots, Celery, Garlic, Vegetable broth",high-protein,lunch,Indian,Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later.,Peanuts,428
429,Shrimp Pasta,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","low-carb, dairy-free",breakfast,Indian,"Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor.",Dairy,429
430,Avocado Toast,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","dairy-free, vegetarian",dinner,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing.",,430
431,Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","paleo, vegetarian",dinner,Mediterranean,"Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes.",Eggs,431
432,Gluten-Free Pancakes,"Lentils, Carrots, Celery, Garlic, Vegetable broth","keto-friendly, high-protein",snack,Mediterranean,"In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later.",Gluten,432
433,Chicken Caesar Salad,"Banana, Whey protein, Almond milk, Peanut butter","vegetarian, dairy-free, high-protein",breakfast,Asian,"Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool.",Gluten,433
434,Lentil Soup,"Lentils, Carrots, Celery, Garlic, Vegetable broth",paleo,dinner,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Cook the quinoa according to package instructions and let it cool.",Dairy,434
435,Avocado Toast,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","low-carb, vegetarian, vegan",dinner,Mediterranean,"Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,435
436,Taco Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegetarian, high-protein, keto-friendly",breakfast,Mediterranean,"In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later.",Peanuts,436
437,Chicken Caesar Salad,"Lentils, Carrots, Celery, Garlic, Vegetable broth","paleo, dairy-free",dinner,Mexican,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts,437
438,Vegetarian Chili,"Lentils, Carrots, Celery, Garlic, Vegetable broth","low-carb, paleo, gluten-free",snack,Mediterranean,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,438
439,Shrimp Pasta,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",low-carb,dinner,Italian,"Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Gluten,439
440,Lentil Soup,"Lentils, Carrots, Celery, Garlic, Vegetable broth","paleo, high-protein, gluten-free",breakfast,Italian,"Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Dairy,440
441,Protein Smoothie,"Banana, Whey protein, Almond milk, Peanut butter",gluten-free,lunch,Mediterranean,"Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth.",Gluten,441
442,Taco Salad,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","gluten-free, paleo",dinner,Asian,"Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes.",Gluten,442
443,Chicken Caesar Salad,"Lentils, Carrots, Celery, Garlic, Vegetable broth","gluten-free, paleo, vegan",breakfast,American,"Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces.",,443
444,Vegan Buddha Bowl,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","dairy-free, keto-friendly",dinner,Indian,"Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,444
445,Taco Salad,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",keto-friendly,dinner,Indian,Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth.,Dairy,445
446,Gluten-Free Pancakes,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",vegetarian,breakfast,Mexican,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later.",Eggs,446
447,Taco Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","gluten-free, paleo, keto-friendly",dinner,American,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,447
448,Lentil Soup,"Banana, Whey protein, Almond milk, Peanut butter",vegetarian,breakfast,Mexican,"Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool.",Eggs,448
449,Lentil Soup,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",paleo,breakfast,Mediterranean,"Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",,449
450,Vegan Buddha Bowl,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",gluten-free,lunch,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden.",Gluten,450
451,Chicken Caesar Salad,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegan, high-protein",lunch,Asian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth.",Gluten,451
452,Vegan Buddha Bowl,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",vegetarian,dinner,Mexican,"Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth.",Dairy,452
453,Lentil Soup,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","dairy-free, high-protein, paleo",dinner,Mexican,"Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.",Eggs,453
454,Avocado Toast,"Banana, Whey protein, Almond milk, Peanut butter","gluten-free, paleo, vegan",lunch,Mexican,"Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,454
455,Vegetarian Chili,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons",gluten-free,snack,Indian,Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces.,,455
